Product,price,Shipping_cost
Samsung Galaxy Note20 5G SM-N981U - 128GB - Mystic Gray (Unlocked) READ!,$170.00,40.67
Samsung Galaxy S8 Active SM-G892A - 64GB - Gray | Gold | Blue (GSM Unlocked),$79.95,28.42
Samsung Galaxy A13 SM-A135U1/DS 32GB Unlocked dual SIM cracked screen works 100%,$50.00,ree s
Samsung Galaxy Note20 5G N981U 128GB Unlocked with LCD Shadows - Used,$171.99,31.14
Samsung Galaxy Z Fold 5 SM-F946U1 Factory Unlocked 512GB Gray OPEN BOX,$979.99,83.83
New ListingSamsung Galaxy S21 5G - 128 GB - Phantom Pink (Unlocked),$170.00,37.94
Samsung Galaxy S22 ULTRA 5G FACTORY UNLOCKED Smartphone - GOOD,$524.00,41.52
Samsung Galaxy S21+ - 128GB - Black (L-Verizon) (Read Description) AD1074,$110.00,29.31
Samsung Galaxy Z Fold3 5G  256GB - Black,$297.00,72.93
"Samsung galaxy A21s Unlocked 64g Have done a factory reset , read description",$20.12,12.58
New ListingSamsung Galaxy S21 FE 5G  128 GB  Black  (AT&T) (PARTS & REPAIR ONLY) READ REQD,$111.50,39.00
Samsung Galaxy A21s Dual Sim 32GB/ 64GB/ 128GB Unlocked Smartphone- New Unopened,$159.00 to $210.00,ree s
"Good! GSM Unlocked 6.7"" Samsung Galaxy A71 5G SM-A716U 128GB Black Smartphone",$139.00,30.16
SAMSUNG GALAXY S20+ PLUS 5G 128GB UNLOCKED VARIOUS COLOURS BRAND NEW,$339.59,32.00
Samsung Galaxy S9 SM-G960 - 64GB - Lilac Purple (Unlocked)(Single SIM),$74.21,31.44
Samsung Galaxy A42 5G SM-A426U Verizon Unlocked 128GB Prism Dot Black Good,$94.99,28.86
New ListingSamsung Galaxy S9+ Plus G965U AT&T Phone,$19.99,35.62
Samsung Galaxy A52 5G - 128GB - SM-A526U (Unlocked) (Single SIM) Smartphone,$144.95 to $164.95,30.93
Samsung Galaxy S21 5G - 128 GB - Phantom Gray (AT&T),$69.00,38.09
Samsung Galaxy A10e SM-A102U T-Mobile Unlocked 32GB Black Good,$57.99,27.77
New ListingSamsung Galaxy Z Fold4 - 512 GB - Beige (Unlocked) (Single SIM),$7.99,26.30
"Smartphone Lot of 20 Mix - Apple, Samsung, HTC, LG, Alcatel - For Parts/Repair",$69.99,68.90
New ListingSamsung Galaxy Z Fold3 5G SM-F926B 256GB Black Unlocked FAULTY LCD 259,$0.01,37.72
Samsung Galaxy Z Flip4 SM-F721U - 256GB - Pink Gold (Unlocked),$202.50,41.51
New In Box Samsung Galaxy S21 Ultra SM-G998U 5G 128GB Black Unlocked ATT TMobile,$389.99,37.57
Samsung S7 G930V 4G VoLTE Gold (Verizon) Unlocked US Mobile,$46.99,36.67
