,Product,Minimum_price,Maximum_price2,Shipping_cost
157,Samsung Galaxy S10 128GB G973U Unlocked with LCD Shadows - Excellent,129.99,129.99,29.90
158,"Very Good! Factory Unlocked 6.5"" Samsung Galaxy A12 32GB Black Smartphone",105.0,105.0,29.93
159,Brand New Samsung Galaxy A50 64GB All Colours Unlocked Smartphone 12 Months WTY,139.22,139.22,25.20
160,Samsung Galaxy A11 32GB Black Cricket,18.27,18.27,36.50
161,Samsung Galaxy A12 SM-A125F/DSN - 64GB - Black (EE) (Dual SIM) 2,77.21,77.21,16.08
162,Samsung Galaxy A32 5G - 64GB - (Unlocked) Verizon AT&T T-Mobile Metro Cricket,89.95,124.95,21.46
163,EXCELLENT Samsung Galaxy S20 Ultra 5G 128GB - UNLOCKED,289.95,289.95,34.62
164,Samsung Galaxy Z Flip 5 SM-F731U1 Factory Unlocked 512GB Gray OPEN BOX,559.99,559.99,43.35
165,Samsung Galaxy Note 10+ SM-N975U1 Aura Black 512GB Fully Unlocked READ,70.0,70.0,28.13
166,Lot 5 Mix -Samsung Galaxy A13 5G-S136DL with SHATTERED SCREENS-FOR PARTS,149.0,149.0,31.23
167,Samsung Galaxy A42 5G SM-A426U Verizon Unlocked 128GB Prism Dot Gray Good,94.99,94.99,28.86
168,Samsung Galaxy A51 - 128GB - Black ( For Tracfone Smartphone),102.0,102.0,29.07
169,Samsung Galaxy S9 PLUS G965U GSM Factory Unlocked 64GB Smartphone- Image Burn,109.99,109.99,30.08
170,Samsung Galaxy A10e SM-A102U T-Mobile Unlocked 32GB Black Good,57.99,57.99,27.77
171,Samsung Galaxy Z Fold4 5G F936U1 512GB (Unlocked) Verizon T-Mobile AT&T 8U,504.0,504.0,40.93
172,New Sealed Samsung Galaxy A24 Smartphone 4G Unlocked 128GB Dual Sim All Colours,194.86,194.86,27.13
173,Samsung Galaxy S20 / S20+ / S20 FE 5G - Unlocked/T-Mobile/Verizon/AT&T- Good,143.77,189.99,30.76
174,Samsung Galaxy S21 5G Unlocked G991U 128GB Android Smartphone,189.0,189.0,31.64
175,Samsung Galaxy Note20 5G N981U 128GB Unlocked with LCD Shadows - Used,171.99,171.99,31.14
176,New ListingSamsung Galaxy S22+ 256GB T-Mobile Clean ESN,325.0,325.0,40.80
177,New ListingSamsung Galaxy S22 SM-S901U 128GB Unlocked Verizon Mint Cond,206.5,206.5,32.93
178,Samsung Galaxy Note 20 Ultra 5G SM-N986U 128GB GSM Unlocked ATT TMobile Verizon,374.99,374.99,37.12
179,Samsung Galaxy Z Flip3 5G SM-F711U-128GB- Black (Carrier Unlocked),229.98,229.98,33.62
180,"OPEN BOX Samsung Galaxy A54 5G A546E 128GB 8GB 6.4"" Unlocked",270.0,275.0,34.80
181,UNUSED Unlocked Samsung Galaxy Note20 5G SM-N981U 128GB Gray - NO RETAIL BOX,259.0,259.0,33.70
182,Samsung Galaxy A21s 32GB/64GB/128GB - All Colours - Dual SIM Unlocked - Good,126.51,139.17,24.77
183,Samsung Galaxy Note 20 5g New 128GB Warranty BLACK,313.26,313.26,31.33
184,Samsung Galaxy S21 Ultra 5G SM-G998U1 256GB Phantom Black Fully Unlocked READ,177.5,177.5,36.50
185,NEW Samsung Galaxy S22 ULTRA 5G  FACTORY UNLOCKED Smartphone -,558.0,614.0,42.52
186,NEW Samsung Galaxy S9+ PLUS G965U 64GB GSM Unlocked AT&T T-Mobile Metro Verizon,199.88,199.88,32.73
187,Samsung Galaxy S22 ULTRA 5G FACTORY UNLOCKED Smartphone - GOOD,482.0,524.0,40.28
188,Samsung Galaxy Z Flip3 5G SM-F711U1 - Factory Unlocked - EBAY REFURBISHED - GOOD,185.24,185.24,31.53
189,Samsung Galaxy A15 5G - 128GB - Black (Metro) (Single SIM),149.99,149.99,31.26
190,FACTORY UNLOCKED Samsung Galaxy NOTE 20 128GB 8GB RAM Smartphone - Pristine,275.0,275.0,34.95
191,Samsung Galaxy A71 5G SM-A716U 128GB+6GB 64MP Unlocked Smartphone- New Sealed,206.0,206.0,ree s
192,Samsung Galaxy A23 5G A236U 64GB Black GSM Unlocked (AT&T/T-Mobile) - Open Box,135.0,135.0,30.04
193,Samsung Galaxy K zoom SM-C111 - 8GB - Shimmer White (Unlocked) Smartphone,176.52,176.52,32.04
194,GSM Unlocked Samsung Galaxy A13 5G 64GB 4GB RAM Black Smartphone - Grade B,89.0,89.0,28.69
195,Samsung Galaxy A05 A055M 64GB 4GB RAM GSM Unlocked International Version (New),111.99,111.99,30.14
196,Samsung Galaxy Z Fold 5 SM-F946U1 Factory Unlocked 512GB Phantom Black OPEN BOX,949.99,949.99,54.09
197,Samsung Galaxy A14 5G (A146U) 64GB GSM Unlocked Android (NEW),149.95,149.95,30.49
198,**NEW** Samsung Galaxy A54 SM-A546U1 5G 128GB BLACK GSM UNLOCKED USA Warranty ✅,279.99,279.99,27.06
199,Samsung Galaxy S22 ULTRA 5G 128GB FACTORY UNLOCKED Smartphone - VERY GOOD,508.0,508.0,41.05
200,"Samsung  A34 5G - 128GB+6GB & 256GB+8GB (GSM Unlocked) Dual Sim 6.4"" Display-NEW",259.99,279.99,35.09
201,Samsung Galaxy S22 Ultra 5G SM-S908U 128GB Blue REPORTED,321.0,321.0,35.53
202,Samsung Galaxy S23 Ultra 5G 256GB (Factory Unlocked) - Open Box,999.99,999.99,56.33
203,Samsung Galaxy A10e SM-A102U US Cellular Unlocked 32GB Black Good,54.99,54.99,20.43
204,NEW UNLOCKED SAMSUNG GALAXY S20+ PLUS 5G SM-G986U 128GB BLACK GRAY GSM+CDMA,256.88,256.88,33.64
205,Samsung N960 Galaxy Note 9 128GB Factory Unlocked Smartphone- Shaded screen,135.0,135.0,30.04
206,"Samsung SGH-D410 Olympics Worldwide Partner Edition 2003, International",18.74,18.74,38.19
207,Samsung Galaxy Z Fold3 5G  256GB - Black,235.5,235.5,71.12
208,Samsung Galaxy Note 20 Ultra 5G T-Mobile AT&T Verizon- Unlocked N986U - READ,102.5,102.5,35.86
209,Samsung Galaxy Z Flip3 5G SM-F711U - 128GB - Cream (Unlocked),99.0,99.0,45.21
210,Samsung Galaxy S7 32GB - AM-G930V AS IS UNTESTED w/ FLAWS,19.95,19.95,27.42
211,"Excellent! GSM Unlocked 6.6"" Samsung Galaxy A23 A236U 5G 64GB Black Smartphone",139.0,139.0,30.93
212,Samsung Galaxy S21 5G 64GB 128GB 256GB Verizon AT&T T-Mobile Unlocked Very Good,194.75,227.99,32.79
213,Excellent! (GSM Unlocked) Samsung Galaxy A13 SM-A135U 32GB Black Smartphone,109.0,109.0,29.28
214,Samsung Galaxy XCover Pro 64GB SM-G715U Verizon Black Phone,49.45,49.45,27.52
215,Samsung Galaxy Z Flip3 5G SM-F711B/DS 128/256GB Unlocked Very Good Condition,335.41,360.73,27.83
216,Samsung Galaxy S23 Ultra 256GB 512GB 1TB 12GB RAM Unlocked New All Colours NEW,1025.24,1202.45,55.77
217,"New ListingSamsung galaxy A21s Unlocked 64g Have done a factory reset , read description",18.99,18.99,12.66
218,Samsung Galaxy Z Flip 3 5G F711U Factory Unlocked 128GB Black C Heavy Scratch,165.0,165.0,30.93
219,Samsung Galaxy A21s Dual Sim 32GB/ 64GB/ 128GB Unlocked Smartphone- New Sealed,158.22,213.91,ree s
220,Factory Unlocked Samsung Galaxy S21+ Plus 5G 128GB Black Smartphone - Good,249.0,249.0,33.41
221,Samsung Galaxy S21+ Plus G996U Unlocked T-Mobile Verizon Smartphone | Shaded,199.99,199.99,31.96
222,Samsung Galaxy S21 5G - 128GB- (Factory Unlocked),184.99,184.99,31.52
223,New ListingSamsung Galaxy A53 5G - 128GB - Black (For AT&T Smartphone),33.0,33.0,19.78
224,Samsung Galaxy S23 FE 5G SM-S711B/DS 256GB 8GB RAM DUAL SIM Factory Unlocked NEW,564.95,564.95,42.73
225,SAMSUNG GALAXY S21 ULTRA 5G G998U1 128GB 256GB (FACTORY UNLOCKED) ⚫️⚪️🟣✤SEALED✤,398.95,398.95,38.60
226,"New ListingLot of 19 Mixed Smart Phones - Iphones, Oneplus, LG, Samsung, Motorola FOR PARTS",99.99,99.99,95.91
227,Samsung Galaxy S9 Unlocked | T-Mobile AT&T Verizon | 64GB 4G Smartphone Good,124.0,124.0,29.72
228,OPEN BOX Samsung Galaxy S10+ Plus 128/512GB/1TB UNLOCKED,219.95,319.95,32.55
229,SAMSUNG GALAXY TAB T395 ACTIVE 2 LTE 4GB GRADE A FULL . MINT. LIKE NEW,91.82,91.82,21.60
230,Verizon Samsung Galaxy S10e SM-G970U Android 128GB Prism Blue,110.99,110.99,30.11
231,Samsung Galaxy Z Fold4 - 512 GB - Phantom Black (Unlocked),299.0,299.0,51.70
232,Samsung Galaxy Note 4 SM-N910V - 32 GB - Charcoal Black (AT&T) Smartphone,40.0,40.0,34.10
233,SAMSUNG C3520 Mobile Phone Bluetooth MP3 FM Radio GSM Flip Unlocked Cell phone,37.96,37.96,ree s
