store_name,location,rating
العربية للعود,النزهة، جدة 23532، المملكة العربية السعودية,3.6
العربية للعود,"fruit boat sculpture, شارع حراء، النهضة، جدة 23523، المملكة العربية السعودية",4.3
العربية للعود,قاده الفكر، الرويس، جدة 23215، المملكة العربية السعودية,4.0
العربية للعود,المنار، جدة 23462، المملكة العربية السعودية,4.0
624 العربية للعود | arabian oud,الحمدانية، جدة 23761، المملكة العربية السعودية,3.4
683 العربية للعود | arabian oud,طريق الملك عبدالله، الفيحاء، جدة 22251، المملكة العربية السعودية,4.7
العربية للعود,النوارية، مكة 24215، المملكة العربية السعودية,4.0
العربية للعود,طريق الملك فيصل، العدل، مكة 24244، المملكة العربية السعودية,4.0
العربية للعود,2167 محمد صالح باشراحيل، الراشدية، مكة 24268، المملكة العربية السعودية,3.9
العربية للعود,شارع الحسين السهواجي، الربيع، جدة 23461، المملكة العربية السعودية,3.7
العربية للعود,اسماعيل بن كثير، البساتين، جدة 23719، المملكة العربية السعودية,4.0
العربية للعود,طريق خريص، الروضة، الرياض 13211، المملكة العربية السعودية,3.9
العربية للعود,طريق الإمام عبدالله بن سعود بن عبدالعزيز الفرعي، اليرموك، الرياض 13243، المملكة العربية السعودية,4.2
العربيه للعود,الربوة،، الربوة، الرياض 12839، المملكة العربية السعودية,4.0
العربية للعود,طريق أبو عبيدة عامر بن الجراح، حي السلي، السلي، الرياض 14267، المملكة العربية السعودية,4.0
العربية للعود التخصصي,7324 شارع التخصصي، العليا، الرياض 12342، المملكة العربية السعودية,4.4
العربية للعود,طريق الملك عبدالله الفرعي، الحمراء، الرياض 13217، المملكة العربية السعودية,4.1
العربيه للعود,شارع جرير، الملز، الرياض 12836، المملكة العربية السعودية,3.9
العربية للعود,العربية للعود، شارع عبد الرحمن الغافقي، شارع عبدالرحمن الغافقي، الرياض ،، الرياض المملكة العربية السعودية,4.0
العربية للعود,طريق أنس ابن مالك، الصحافة، الرياض 13321، المملكة العربية السعودية,3.8
العربية للعود,عائشة بنت أبي بكر، السويدي، السويدي، الرياض 12788، المملكة العربية السعودية,3.9
العربية للعود,اليرموك، الرياض 13251، المملكة العربية السعودية,4.1
العربية للعود,سلمان الفارسي، النهضة،،، النهضة، الرياض 13221، المملكة العربية السعودية,3.8
العربيه للعود,"حي, طريق ابو عبيدة عامر بن الجراح، الفيحاء، الرياض 14254، المملكة العربية السعودية",4.3
العربية للعود,riyadh front، مطار الملك خالد الدولي، الرياض 11564، المملكة العربية السعودية,3.7
العربية للعود,طريق الملك فهد، العقيق، الرياض 13515، المملكة العربية السعودية,4.1
العربية للعود,"حي, طريق الملك عبدالعزيز، الربيع، الرياض 13316، المملكة العربية السعودية",3.5
العربية للعود,2937 طريق الملك عبدالله الفرعي، الورود، الرياض 12253، المملكة العربية السعودية,3.0
العربية للعود,3427 طريق الخرج، المنصورة، الرياض 12692، المملكة العربية السعودية,4.2
العربية للعود,طريق العروبة، العليا، الرياض 12244، المملكة العربية السعودية,4.4
العربية للعود,"othaim market, الامير تركي بن عبدالعزيز الثاني، opposit, الرياض 12282، المملكة العربية السعودية",3.4
العربية للعود,طريق هارون الرشيد، الفيحاء، الرياض 14254، المملكة العربية السعودية,4.3
العربية للعود,طريق الدمام الفرعي، المونسية، الرياض 13246، المملكة العربية السعودية,4.3
العربية للعود,الإمام سعود بن عبد العزيز بن محمد، المغرزات، الرياض المملكة العربية السعودية,4.1
العربية للعود,3708 طريق العزيزية الفرعي، العزيزية، 6776 طريق العزيزية،، الرياض 14511، المملكة العربية السعودية,3.9
