store_name,location,rating
Reef Perfume | عطور ريف,Railway Station، طريق الملك فهد، مجمع الدوائر الحكومية الأول، الهفوف 36361، المملكة العربية السعودية,4.0
Dkhoun,"Al Rashid Mall, 3554 Al Ulaya، الخبر المملكة العربية السعودية",4.3
لودوريه,الطريق الدائري الشرقي، غرناطة، الرياض 12486، المملكة العربية السعودية,4.1
زهور الريف,الماجد، طريق الملك خالد، حي الرفعة الجنوبية، الهفوف 36361، المملكة العربية السعودية,4.1
Reef Perfume,عثمان بن عفان، حي الإسكان، بريدة 52384، المملكة العربية السعودية,4.2
زهور الريف,3XVF+5H6، شارع عبد الله خالد ، حي الشريمية، الشريمية، عنيزة 56219، المملكة العربية السعودية,4.6
الماجد للعود,8437 شارع البخاري، حي الريان، بريدة 52379، المملكة العربية السعودية,4.6
ريف الورد (بريدة),من، ابن سيرين، الشرق، تقاطع طريق البخاري مع، بريدة المملكة العربية السعودية,4.5
زهور الريف,VG84+P3F، شارع الملك خالد بن عبدالعزيز، الملك فهد، الرس 58851، المملكة العربية السعودية,3.4
ريف العطور,V9WV+8WH كرم مول، طريق الملك خالد، المستقبل، المجمعة 15368، المملكة العربية السعودية,3.7
ريف العطور,مول البساتين بشقراء، طريق الملك سعود، الشفاء، شقراء 15571، المملكة العربية السعودية,4.3
ريف العطور,طريق الملك فهد بن عبدالعزيز،، المطر، سيتيز مول، سكاكا 72341، المملكة العربية السعودية,5.0
ريف العطور,"6M74+G83, 6M74+F8FKhamis Mushait, أبها 62439، المملكة العربية السعودية",5.0
ريف العطور,"6QW8+C6J خميس افينيو الدور الارضي, البوابة 5, طريق الملك خالد، ذلالة، خميس مشيط 62411، المملكة العربية السعودية",5.0
ريف العطور,"6MM5+R56, Airport Road, أبها 62439، المملكة العربية السعودية",3.0
زهور الريف,سوق الواحة سنتر، خميس مشيط 62434، المملكة العربية السعودية,4.0
