store_name,location,rating
ابراهيم القرشي للعطور | Ibrahim AlQurashi,الحوية، الطائف 26575، المملكة العربية السعودية,4.5
ابراهيم القرشي,بارك مول، مروج الأمير، تبوك 47315، المملكة العربية السعودية,4.1
ابراهيم القرشي للعطورات,الجبيل البلد، الجبيل 35514، المملكة العربية السعودية,3.6
ابراهيم القرشي,"الورود، gate 2, حفر الباطن 00000، المملكة العربية السعودية",4.2
محمد القرشي للعود والعطور,طريق المدينة العسكرية، خط، خميس مشيط 62411، المملكة العربية السعودية,5.0
مملكة القرشي ، للعود و العنبر و العطور,G2VW+PG، البلد، محايل عسير 63711، المملكة العربية السعودية,3.3
ابرهيم القرشي,6076 طريق الملك عبدالعزيز، حي الاثايبة، NJMB2636، 2636، نجران 66258، المملكة العربية السعودية,4.2
روائع شذى للعطور,طريق الملك عبدالعزيز، محايل عسير 63712، المملكة العربية السعودية,4.5
اعواد القرشي بيت البخور والمسك والعطور,الهر ير، 62468، خميس مشيط 62468، المملكة العربية السعودية,4.7
شركة محمد القرشي للعود والعطور,طريق الملك عبدالله، البلد، محايل عسير 63411، المملكة العربية السعودية,5.0
ابراهيم القرشي للعطور,"Othaim Mall, Al Nugrah, النقرة،, An Naqrah, حائل 55431، المملكة العربية السعودية",4.1
ابراهيم القرشي للعطور | Ibrahim AlQurashi,الدانة مول، العزيزية، ينبع 46435، المملكة العربية السعودية,3.5
Abdul Samad Al Qurashi,8P4H+QQ، Al Irq Ash ShamaliAl Irq Ash Shamali، خميس مشيط 62461، المملكة العربية السعودية,4.2
ابراهيم القرشي للعطور | Ibrahim AlQurashi,"Alothaim mall, حي الإسكان، بريدة 52384، المملكة العربية السعودية",4.0
ابراهيم القرشي,93QG+726، الفيصلية، الدمام 32271، المملكة العربية السعودية,4.1
إبراهيم القرشي,طريق الملك سعود بن عبدالعزيز، الدوحة الجنوبية، الخبر 34455، المملكة العربية السعودية,4.0
ابراهيم القرشي,F367+FVJ، العزيزية، الدمام 32424، المملكة العربية السعودية,4.0
ابراهيم القرشي للعطور | Ibrahim AlQurashi,"Mall of Dhahran Blvd, Al Dawhah Distcrect, الظهران 34457، المملكة العربية السعودية",3.2
ابراهيم القرشي للعطور | Ibrahim AlQurashi,"Al Nakheel mall, المنار، الدمام 32274، المملكة العربية السعودية",4.8
محمد القرشي للعطور,شارع القدس، المستودعات، القطيف 32263، المملكة العربية السعودية,5.0
محمد القرشي للعود والعطور,شارع الملك سعود بن عبدالعزيز، العنود، الدمام 32263، المملكة العربية السعودية,4.5
Abdul Samad Al Qurashi,C428+CQ، عبدالله فؤاد،، عبدالله فؤاد، الدمام 32236، المملكة العربية السعودية,4.2
ابراهيم القرشي الاحساء مول,غرناطة، الهفوف 36445، المملكة العربية السعودية,3.8
ابراهيم القرشي,"6671 Ibn Abdul Aziz, حي الجوهرة، 2663 King Abdullah, الخفجي 39254، المملكة العربية السعودية",5.0
