store_name,location,rating
عبدالصمد القرشي,6HPJ+M2، البديع، أبها 62581، المملكة العربية السعودية,3.9
عبد الصمد القرشي,3XPH+78، الفيضة، عنيزة 56241، المملكة العربية السعودية,3.6
عبدالصمد القرشي,الحديقة، العالية 42383، المملكة العربية السعودية,5.0
عبد الصمد القرشي,طريق الملك خالد الفرعي، سكن المدينة العسكرية، خميس مشيط 62413، المملكة العربية السعودية,3.5
عبدالصمد القرشي ABDULSAMAD AL QURASHI- هيليتون,FJC6+Q97، بضاعة، Madinah Hilton، المدينة المنورة 42311، المملكة العربية السعودية,4.2
عبدالصمد القرشي,شارع الأمير عبدالله الفيصل، الشاطيء، جازان 82725، المملكة العربية السعودية,4.2
عبد الصمد القرشي,9X96+CC، 52383Al Safra، Al Safra، بريدة 52383، المملكة العربية السعودية,3.2
Abdul Samad Al Qurashi,8352 طريق الملك عبدالله الفرعي، الوبرة، Al Manar Plaza، المدينة المنورة 42371، المملكة العربية السعودية,4.3
Abdul Samad Al Qurashi عبد الصمد القرشي,طريق المروج جامع الملك فهد، القريات المملكة العربية السعودية,4.1
Abdul Samad Al Qurashi,ينبع البلد شارع الأربعين ينبع مول، ينبع المملكة العربية السعودية,4.2
عبدالصمد القرشي,عسير مول، ابها، أبها المملكة العربية السعودية,3.8
عبدالصمد القرشي,طريق خالد بن الوليد الديرة مول، الرس 58881، المملكة العربية السعودية,4.0
عبدالصمد القرشي للعطور ، فلامنجو بارك ١,75PM+VF، الثقبة، الخبر 34623، المملكة العربية السعودية,4.0
عبدالصمد القرشي,طريق الملك عبد العزيز فندق رؤوم ان، المجمعة المملكة العربية السعودية,4.0
عبد الصمد القرشي للعود والعطورات,شارع الفناتير بجوار صيدلية النهدي، الجبيل المملكة العربية السعودية,3.9
عبد الصمد القرشي,HJWG+5H، طريق الملك فهد مقابل وزارة التعليم حوطة السدير، حوطة سدير المملكة العربية السعودية,4.4
عبد الصمد القرشي للعود والعطورات,بوابة1، الجبيل البلد ش الملك عبد العزيز دوار السفينة الجبيل البلد، الجبيل المملكة العربية السعودية,3.8
Abdul Samad Al Qurashi عبد الصمد القرشي,الامير احمد بن عبد العزيز طريق وادي الدواسر، حوطة بني تميم المملكة العربية السعودية,3.9
عبدالصمد القرشي,"القنفذه امام مبنى المحافظه القديم, الشامية، القنفذة 28822، المملكة العربية السعودية",4.3
عبدالصمد القرشي,بوابة 2، جيزان كادى مول، جازان المملكة العربية السعودية,3.6
عبدالصمد القرشي,3XVF+3G، بوابة 2، عنيزة مول، عنيزة المملكة العربية السعودية,3.9
عبدالصمد القرشي,"5JFV+4Q4 Azzan Plaza Sabia, طريق الملك عبدالعزيز، الرحاب 85457، المملكة العربية السعودية",4.4
Abdul Samad Al Qurashi عبد الصمد القرشي,X28F+8M، طريق الملك خالد، الصناعية القديمة، عرعر 73311، المملكة العربية السعودية,4.1
عبد الصمد القرشي,صبيا شارع الملك فهد تقاطع الملك خالد مقابل جامع الدرسى، صبيا المملكة العربية السعودية,4.1
عبدالصمد القرشي,النماص الشارع العام بجوار البريد السعودى، النماص المملكة العربية السعودية,4.1
عبدالصمد القرشي,طريق الملك فيصل، الخالدية، محايل عسير 63687، المملكة العربية السعودية,4.1
عبدالصمد القرشي,الرمال مول شارع أبها مقابل بنده، بيشة المملكة العربية السعودية,3.7
معرض عبدالصمد القرشي القطيف سيتي مول,بوابة 1، القطيف شارع الرياض جزيرة القطيف سيتي مول الدور الاول، القطيف المملكة العربية السعودية,4.4
Abdul Samad Al Qurashi,الحرم، المدينة المنورة 42311، المملكة العربية السعودية,4.1
Abdul Samad Al Qurashi,"2945 طريق الملك فهد، 6614 طريق الملك فهد، المصانع،, المدينة المنورة 42313، المملكة العربية السعودية",4.6
عبدالصمد القرشي ASQ أسواق العثيم,7333 طريق الملك عبدالله الفرعي، حي مهزور، DMAH4496، 4496، المدينة المنورة 42319، المملكة العربية السعودية,5.0
مستودع عبد الصمد القرشي,GM54+M93، طريق المطار، التلعة، المدينة المنورة 42322، المملكة العربية السعودية,5.0
عبد الصمد القرشي,VFWC+VQ، طريق الملك فهد، الرس 58877، المملكة العربية السعودية,4.9
Abdul Samad Al-Qurashi,4599 شارع فلسطين، 8349، حي الرويس، جدة 23215، المملكة العربية السعودية,5.0
ابراهيم القرشي للعطور,شارع الأمير محمد بن عبدالعزيز، الأندلس، جدة 23326، المملكة العربية السعودية,4.1
ابراهيم القرشي,السلام مول، الفيحاء، المملكة العربية السعودية,4.0
ابراهيم القرشي,Unnamed Road، النزهة، جدة 23532، المملكة العربية السعودية,4.5
عبدالصمد القرشي,H6F3+F7H، الصفا، جدة 23451، المملكة العربية السعودية,5.0
عبدالصمد القرشي,والكهرباء، ابها شارع الملك عبد العزيز مقابل وزارة المياه، أبها المملكة العربية السعودية,4.2
عبد الصمد القرشي,اسواق الغنيم، الضباب، أبها 62522، المملكة العربية السعودية,3.7
عبد الصمد القرشي,سوق جمعية الملك فيصل الخيرية، النصب، أبها 62521، المملكة العربية السعودية,3.9
عبدالصمد القرشي,العرين، أبها 62528، المملكة العربية السعودية,5.0
عبد الصمد القرشي,7MHC+JQ، طريق الملك فهد، خميس مشيط 62434، المملكة العربية السعودية,4.0
عبد الصمد القرشي,7PPR+33، النزهة، 2866، النزهة، خميس مشيط 62465 8177، خميس مشيط 62465، المملكة العربية السعودية,4.3
Abdul Samad Al Qurashi,8P4H+QQ، Al Irq Ash ShamaliAl Irq Ash Shamali، خميس مشيط 62461، المملكة العربية السعودية,4.2
Abdul Samad Al Qurashi,خميس مشيط طريق المدينة العسكرية الخميس افينيو مول، خميس مشيط المملكة العربية السعودية,4.1
طيب القرشي,6M74+C7، أبها 62439، المملكة العربية السعودية,4.8
Abdul Samad Al Qurashi عبد الصمد القرشي,ابها، الدرب، جدة 22242، المملكة العربية السعودية,4.3
