job_title, company_name_and_address, job_type
Graphic Designer, RAQMU for Building and Construction - Heliopolis, Cairo, Egypt 2 months ago, Full Time, 
Technical Designer, Confidential - Maadi, Cairo, Egypt 2 months ago, Full Time, 
Senior Video Editor / Motion Designer, سهولة الوصول - Cairo, Egypt 2 months ago, Full Time, 
Motion & Graphic Designer, Mico World Limited - Maadi, Cairo, Egypt 2 months ago, Full Time, 
Graphic Designer, flyadeal Egypt - Giza, Giza, Egypt 2 months ago, Full Time, 
Graphic Designer, El karez - New Nozha, Cairo, Egypt 2 months ago, Full Time, 
senior Graphic designer, Roi lab advertising agency  - New Cairo, Cairo, Egypt 2 months ago, Full Time, 
Interior Designer, Impact Technology  - Cairo, Egypt 2 months ago, Part Time, 
Graphic Designer, Edex Business Solutions - Cairo, Egypt 4 days ago, Full Time, 
Video Editor/ Graphic Designer, Whitecollars - Cairo, Egypt 1 hour ago, Full Time, 
Graphic and Motion Designer - Siemens Energy, Cairo Egypt, Siemens Energy - Cairo, Egypt 26 minutes ago, Full Time, 
Art Director, topEngineer - Dubai, United Arab Emirates 1 day ago, Full Time, 
Graphic Designer - UAE National, Jacobs Engineering Group Inc - Dubai, United Arab Emirates 1 day ago, Full Time, 
Motion and Graphic Designer, Tawzef for Recruitment & HR Consultancy - Cairo, Egypt 3 days ago, Full Time, 
Design Architect, REMANAG - Cairo, Egypt 7 hours ago, Full Time, 
Senior Product Designer, geidea - Cairo, Egypt 7 hours ago, Full Time, 
Graphic Designer, ASTUDIO - Dubai, United Arab Emirates 11 hours ago, Full Time, 
Graphic Designer, Fortes Holdings - Dubai, United Arab Emirates 3 days ago, Full Time, 
Graphic Designer - UAE National, Jacobs - Dubai, United Arab Emirates 3 days ago, Full Time, 
Graphic Designer, Confidencial - Dubai, United Arab Emirates 1 day ago, Full Time, 
BIM Coordinator - UAE National, Jacobs Engineering Group Inc - Dubai, United Arab Emirates 1 day ago, Full Time, 
Graphic Designer, Puratos - Riyadh, Saudi Arabia 4 days ago, Full Time, 
Jr. Machine Operator, Pepsi - Riyadh, Saudi Arabia 2 days ago, Full Time, 
UX Designer, Amaris Consulting - Dubai, United Arab Emirates 2 days ago, Full Time, 
Project Designer, JLG Architects - Alexandria, Egypt 2 days ago, Full Time, 
Designer, Time Out GCC and Ahlan, ITP Media Group - Dubai, United Arab Emirates 4 days ago, Full Time, 
Partner Performance Specialist – German Speaker (Cairo-based), Careersatagoda - Cairo, Egypt 2 days ago, Full Time, 
Graphic Designer, Jowan Future Design & print - Riyadh, Saudi Arabia 5 days ago, Full Time, 
Senior Art Director, MediaMonks - Dubai, United Arab Emirates 2 days ago, Full Time, 
UX Designer, Amaris - Dubai, United Arab Emirates 2 days ago, Full Time, 
Senior Master/ Urban Planner, HDR - Riyadh, Saudi Arabia 4 days ago, Full Time, 
Director of Marketing - Food and Beverage - Madinat Jumeirah Resort, Jumeirah Hotels & Resorts - Dubai, United Arab Emirates 3 days ago, Full Time, 
Senior UX/UI Designer, FinancialDocs - Dubai, United Arab Emirates 3 days ago, Full Time, 
User Experience Designer ( UAE National ), Commercial Bank of Dubai - Dubai, United Arab Emirates 3 days ago, Full Time, 
Director of Marketing, Miraval The Red Sea - Riyadh, Saudi Arabia 3 days ago, Full Time, 
UX Designer, Truelancer.com - Cairo, Egypt 3 days ago, Full Time, 
Accountant | Retail | IKEA Cairo Festival City, Majed el Futtiam - Cairo, Egypt 3 days ago, Full Time, 
Graphic Designer, Demind Firma Management - Dubai, United Arab Emirates 4 days ago, Full Time, 
Senior UX Researcher - Qualitative, Careem - Dubai, United Arab Emirates 4 days ago, Full Time, 
Graphic Designer, BanoPuratos - Riyadh, Saudi Arabia 5 days ago, Full Time, 
Art & Design Manager, Miral Experiences - Dubai, United Arab Emirates 4 days ago, Full Time, 
Director of Marketing, Hyatt Hotels Corporation - Riyadh, Saudi Arabia 3 days ago, Full Time, 
Midweight Designer/Artworker, 160over90 - Dubai, United Arab Emirates 4 days ago, Full Time, 
Assistant Editor, BBC News - Cairo, Egypt 3 days ago, Freelance / Project, 
Senior Graphic Designer, Snoonu - Doha, Qatar 4 days ago, Full Time, 
Campaign Design & Implementation Analyst - Nespresso UAE, Nestlé Nespresso SA - Dubai, United Arab Emirates 4 days ago, Full Time, 
Delivery Specialist, SAMACO Automotive - Riyadh, Saudi Arabia 4 days ago, Full Time, 
Senior Graphic Designer, Cehail International - Cairo, Egypt 4 days ago, Full Time, 
Sr. Landscape Architect (BIM), DAR ENGINEERING - Cairo, Egypt 4 days ago, Full Time, 
Middleweight Designer/Artworker, 160over90 - Dubai, United Arab Emirates 4 days ago, Freelance / Project, 
Senior Designer (Digital), 160over90 - Dubai, United Arab Emirates 4 days ago, Full Time, 
Senior Digital Designer, 160over90 - Dubai, United Arab Emirates 4 days ago, Full Time, 
Stylist - UAE National, Chloé - Dubai, United Arab Emirates 4 days ago, Freelance / Project, 
Graphic Designer - Social Media Support (Arabic Speaker), Black Pearl Consult - Dubai, United Arab Emirates 4 days ago, Full Time, 
Director of Digital Transformation (UAE Nationals Only), Trans Skills LLC - Dubai, United Arab Emirates 4 days ago, Full Time, 
Design Architect, Allsopp & Allsopp Recruitment & Executive Search - Dubai, United Arab Emirates 4 days ago, Full Time, 
Marketing Director, Informa Markets - Dubai, United Arab Emirates 4 days ago, Full Time, 
Director - Financial Planning & Analysis - FMCG/Telecom/Real Estate, Embark Pace - Dubai, United Arab Emirates 4 days ago, Full Time, 
Director - Corporate Tax, KPMG Lower Gulf - Dubai, United Arab Emirates 5 days ago, Full Time, 
Senior UX Designer, VML - Riyadh, Saudi Arabia 5 days ago, Full Time, 
Senior UI Designer, VML - Riyadh, Saudi Arabia 5 days ago, Full Time, 
User Experience Designer, ASTUDIO - Dubai, United Arab Emirates 6 days ago, Full Time, 
User Experience (UX) Designer - FINTEC Applications, Believe Resourcing Group - Dubai, United Arab Emirates 5 days ago, Full Time, 
Senior Director, Cybersecurity, ROSHN l روشن - Riyadh, Saudi Arabia 5 days ago, Full Time, 
Junior Motion Graphics Designer, dentsu - Cairo, Egypt 6 days ago, Full Time, 
Lead Game Designer, Games Factory Talents | Connecting Passion & Talent - Riyadh, Saudi Arabia 5 days ago, Full Time, 
Graphic Designer Intern, Hawk Eye LLC - Dubai, United Arab Emirates 5 days ago, Full Time, 
Finalizer, Saatchi & Saatchi - Dubai, United Arab Emirates 6 days ago, Full Time, 
Lead artist - Mobile, Steer Studios - Riyadh, Saudi Arabia 5 days ago, Full Time, 
International Writer/Editor Consultant - Cairo, UN Women - Cairo, Egypt 5 days ago, Full Time, 
Graphic Designer (Arabic speaker), Black Pearl Consult - Dubai, United Arab Emirates 6 days ago, Full Time, 
Resident Senior Associate Landscape Architect, Cracknell - Dubai, United Arab Emirates 6 days ago, Full Time, 
Product Designer, Axis - Cairo, Egypt 6 days ago, Full Time, 
Technical NOC Operator, Praxis - Dubai, United Arab Emirates 6 days ago, Full Time, 
Senior UI Visual Designer, UPFRONTHR - Dubai, United Arab Emirates 7 days ago, Full Time, 
Senior Photographer, dentsu - Cairo, Egypt 6 days ago, Full Time, 
Junior Media Planner, dentsu - Cairo, Egypt 6 days ago, Full Time, 
UI UX Designer, Pentavalue - Cairo, Egypt 6 days ago, Full Time, 
Lead, Production Excellence, North Oil Company Qatar - Doha, Qatar 6 days ago, Full Time, 
3D Visualization Artist with Motion Graphics (Architecture and Interior), archcorp - Dubai, United Arab Emirates 7 days ago, Full Time, 
Graphic Designer, Rekrut by Talent 360 - Cairo, Egypt 6 days ago, Full Time, 
Copywriter/Social Media Coordinator, Abwaab - Riyadh, Saudi Arabia 6 days ago, Full Time, 
Sr. UI/UX Designer, DXC.technology - Cairo, Egypt 7 days ago, Full Time, 
371-3D Visualizers, theWORK - Riyadh, Saudi Arabia 6 days ago, Freelance / Project, 
Emirati UX/UI Designer, Emira Talent - Abu Dhabi, United Arab Emirates 7 days ago, Full Time, 
Interior Designer-UAE, archcorp - Dubai, United Arab Emirates 7 days ago, Full Time, 
Sr.Product Designer, LOYNOVA - Cairo, Egypt 7 days ago, Full Time, 
Art Director, ASTUDIO - Dubai, United Arab Emirates 7 days ago, Full Time, 
Sr. UI/UX Designer, DXC Technology - Cairo, Egypt 8 days ago, Full Time, 
Designer (Civil), NPCC - Dubai, United Arab Emirates 7 days ago, Full Time, 
Junior BIM Mechanical Engineer., Rekrut by Talent 360 - Cairo, Egypt 7 days ago, Full Time, 
Senior Design Manager, JobIn - Riyadh, Saudi Arabia 8 days ago, Full Time, 
Design Interface Coordinator, Besix International - Riyadh, Saudi Arabia 9 days ago, Full Time, 
Machine Operator (Prime / Coating / blasting station): Abu Dhabi, NOV - Dubai, United Arab Emirates 9 days ago, Full Time, 
Social Media Marketing Trainee, Stella Stays - Dubai, United Arab Emirates 10 days ago, Full Time, 
Senior UI/UX Designer, Core42 - Dubai, United Arab Emirates 10 days ago, Full Time, 
Marketing Director, Informa Connect Limited - Riyadh, Saudi Arabia 10 days ago, Full Time, 
Graphic Designer, Rawabi United Safety Services Company Limited (RUSS) - Riyadh, Saudi Arabia 11 days ago, Full Time, 
Photographer/Videographer (Resident in the KSA), Whitecollars - Jeddah, Saudi Arabia 10 days ago, Full Time, 
Creative Designer - Experienced _VOIS, _VOIS - Cairo, Egypt 11 days ago, Full Time, 
Art Director - Digital Video Production, Info Arab Media - Dubai, United Arab Emirates 10 days ago, Full Time, 
Marketing Director, Informa Connect of Informa PLC - Riyadh, Saudi Arabia 10 days ago, Full Time, 
