job_title, company_name_and_address, job_type
00002300 - Associate Dean, College of Business Management, American University of Kuwait (AUK) - Doha, Qatar 26 days ago, Full Time, 
00002300 - Associate Dean, College of Business Management, University of Doha for Science & Technology - Doha, Qatar 26 days ago, Full Time, 
Marketing Coordinator Utd.Arab Emir. Dubai, Doka GmbH - Dubai, United Arab Emirates 26 days ago, Full Time, 
Business Transformation Lead- Power Platform _VOIS, _VOIS - Cairo, Egypt 23 days ago, Full Time, 
Freelance Mid weight Designer, M&C Saatchi Group - Dubai, United Arab Emirates 24 days ago, Full Time, 
Assistant Professor - Chemistry, University of Doha for Science & Technology - Doha, Qatar 10 days ago, Full Time, 
F&B Marketing and Communications Assistant Manager, The Lana, Dubai - Dorchester Collection - Dubai, United Arab Emirates 13 days ago, Freelance / Project, 
Bartender, FIVE Hotels and Resorts - Dubai, United Arab Emirates 4 days ago, Full Time, 
Senior ReactJS Developer -FIVE Holdings, FIVE Hotels and Resorts - Dubai, United Arab Emirates 6 days ago, Full Time, 
Concierge Agent, FIVE Hotels & Resorts - Dubai, United Arab Emirates 9 days ago, Full Time, 
Concierge Agent, FIVE Hotels and Resorts - Dubai, United Arab Emirates 10 days ago, Full Time, 
HR Executive, FIVE Hotels and Resorts - Dubai, United Arab Emirates 17 days ago, Full Time, 
In Room Dining (Order Taker) - Russian Speaker, FIVE Hotels and Resorts - Dubai, United Arab Emirates 10 days ago, Full Time, 
Restaurant Reservations Agent, FIVE Hotels and Resorts - Dubai, United Arab Emirates 11 days ago, Full Time, 
Kids Club Manager, FIVE Hotels and Resorts - Dubai, United Arab Emirates 20 days ago, Full Time, 
Receptionist/Secretary - Development, FIVE Hotels and Resorts - Dubai, United Arab Emirates 12 days ago, Full Time, 
Dean, College of Business, University of Doha for Science & Technology - Doha, Qatar 27 days ago, Full Time, 
Server (In Room Dining) - FIVE Jumeirah Village, FIVE Hotels & Resorts - Dubai, United Arab Emirates 3 days ago, Full Time, 
Server (In Room Dining) - FIVE Jumeirah Village, FIVE Hotels and Resorts - Dubai, United Arab Emirates 3 days ago, Full Time, 
Waiter/Waitress - FIVE Jumeirah Village, FIVE Hotels and Resorts - Dubai, United Arab Emirates 3 days ago, Full Time, 
Sports Coach, Englishcollege - Dubai, United Arab Emirates 16 days ago, Full Time, 
Cluster Marketing Manager - North Africa & Turkey, SIG Group - Cairo, Egypt 17 days ago, Full Time, 
Vice President, Applied Research and Graduate Studies, American University of Kuwait (AUK) - Doha, Qatar 24 days ago, Full Time, 
Vice President, Applied Research and Graduate Studies, University of Doha for Science & Technology - Doha, Qatar 24 days ago, Full Time, 
Floor Supervisor, Playa Pacha Beach - FIVE LUXE JBR, FIVE Hotels and Resorts - Dubai, United Arab Emirates 11 days ago, Full Time, 
Hostess, Playa Pacha Beach - FIVE LUXE JBR, FIVE Hotels and Resorts - Dubai, United Arab Emirates 11 days ago, Full Time, 
Revenue and Distribution Manager, FIVE Hotels and Resorts - Dubai, United Arab Emirates 12 days ago, Full Time, 
Waiter, Beach - FIVE LUXE JBR, FIVE Hotels and Resorts - Dubai, United Arab Emirates 12 days ago, Full Time, 
Room Reservations Agent, FIVE Hotels and Resorts - Dubai, United Arab Emirates 13 days ago, Full Time, 
Waiter/Waitress - FIVE Palm Jumeirah, FIVE Hotels and Resorts - Dubai, United Arab Emirates 14 days ago, Full Time, 
Director of Operations - FIVE LUXE JBR, FIVE Hotels and Resorts - Dubai, United Arab Emirates 27 days ago, Full Time, 
Head of English, International Schools Partnership Limited - Dubai, United Arab Emirates 3 days ago, Full Time, 
Stewarding Storekeeper - FIVE LUXE JBR, FIVE Hotels and Resorts - Dubai, United Arab Emirates 28 days ago, Full Time, 
Senior Internal Auditor - Aldar Education, Aldar Education - Dubai, United Arab Emirates 17 days ago, Full Time, 
Sales Agent – Restaurant Reservations, FIVE Hotels and Resorts - Dubai, United Arab Emirates 24 days ago, Full Time, 
Stewarding Team Leader - FIVE LUXE JBR, FIVE Hotels and Resorts - Dubai, United Arab Emirates 30 days ago, Full Time, 
Assistant Director of Revenue, FIVE Hotels and Resorts - Dubai, United Arab Emirates 20 days ago, Full Time, 
IT Specialist, FIVE Hotels and Resorts - Dubai, United Arab Emirates 10 days ago, Full Time, 
Assistant Beach Club Manager, Playa Pacha Beach - FIVE LUXE JBR, FIVE Hotels and Resorts - Dubai, United Arab Emirates 11 days ago, Full Time, 
Residence Supervisor - FIVE Palm Jumeirah, FIVE Hotels and Resorts - Dubai, United Arab Emirates 20 days ago, Full Time, 
Junior Sous Chef - Bakery, FIVE Hotels and Resorts - Dubai, United Arab Emirates 25 days ago, Full Time, 
In Room Dining - Order Taker (Arabic Speaker), FIVE Hotels and Resorts - Dubai, United Arab Emirates 30 days ago, Full Time, 
Digital Marketing Manager - Nightlife Experience, FIVE Hotels and Resorts - Dubai, United Arab Emirates 30 days ago, Full Time, 
Head Hostess, FIVE Hotels and Resorts - Dubai, United Arab Emirates 30 days ago, Full Time, 
In Room Dining - Order Taker (Arabic Speaker), FIVE Hotels & Resorts - Dubai, United Arab Emirates 29 days ago, Full Time, 
Head Waiter/Waitress, FIVE Hotels and Resorts - Dubai, United Arab Emirates 30 days ago, Full Time, 
Junior Sous Chef - Mediterranean Cuisine, FIVE Hotels and Resorts - Dubai, United Arab Emirates 30 days ago, Full Time, 
IT Specialist - FIVE LUXE JBR, FIVE Hotels and Resorts - Dubai, United Arab Emirates 27 days ago, Full Time, 
