,jop_title,company_name,city,job_type
273,BIM COORDINATOR - ELECTRICAL, Duncan & Ross Consulting , Riyadh,Internship
274,Technical Officer, Programmed , Riyadh,Part Time
275,Editor & Content Developer (Copywriter), ADNOC Group , Dubai,Freelance / Project
276,Fashion Designer, Sharaf Retail , Dubai,Full Time
277,Junior Finance Graduate, Skill Farm , Dubai,Freelance / Project
278,Junior Graduate Analyst - Consulting, Skill Farm , Dubai,Part Time
279,Head of Digital and Social, Jobs for Humanity , Riyadh,Internship
280,Graphic Designer, The British School of Kuwait (BSK) , Kuwait City,Freelance / Project
281,Web Designer, inoi , Dubai,Full Time
282,Remote Work-From-Home Positions (Easy Data Entry Jobs), Boree Potash Pty Ltd , Riyadh,Freelance / Project
283,Graphic Design/Multimedia Specialist, Nasco group , Kuwait City,Internship
284,Zoho Developer, Koot.UAE , Dubai,Freelance / Project
285,Machine Operator, Element Materials Technology , Dubai,Part Time
286,Senior UX UI Designer, Blackstone eIT , Cairo,Part Time
287,Lead Designer, Jobs for Humanity , Dubai,Part Time
288,Graphic Designer, Truelancer.com , Cairo,Full Time
289,Graphic Designer - Jumia (Full Time), Jumia Group , Cairo,Internship
290,Designer (Installation), NPCC , Dubai,Internship
291,Part Time Work From Home - Seeking Remote Data Entry Clerk, AutenticoMultinivel.com , Tabuk,Full Time
292,Director - Business Tax Advisory - Cairo, ACCA Careers , Cairo,Freelance / Project
293,Sr. Art Director, Rekrut by Talent 360 , Cairo,Full Time
294,Marketing Director - Careem Pay, Careem , Dubai,Internship
295,User Experience Designer, Gulf Business Machines PND , Riyadh,Internship
296,Videographer/ Video Editor, KFM , Doha,Freelance / Project
297,UX/UI Designer, Dicetek LLC , Dubai,Full Time
298,Director of Digital Media, HAX Consulting , Dubai,Full Time
299,Director - Microsoft Operations, Core42 , Dubai,Part Time
300,Graphic Designer, IKK Group – Isam Khairi Kabbani Group , Makkah,Internship
301,Work From Home Customer Service, Alison Phillips , Dubai,Internship
302,Work From Home Administrative Clerks - Work Remotely, Alison Phillips , Dubai,Full Time
303,Senior Product Designer - (UI/UX), Dawarha , Cairo,Freelance / Project
304,Creative Director, Talent Disruptors , Riyadh,Part Time
305,Interior Designer - Luxury Home - Minotti, Al Tayer Insignia , Dubai,Internship
306,Visual Design Specialist, Project Growth , Cairo,Part Time
307,Graphic Design, Talent Disruptors , Cairo,Internship
308,Video Editor, Project Growth , Cairo,Part Time
309,Senior Interior Design Architect, AtkinsRéalis , Riyadh,Internship
310,Easy Work From Home - Data Entry Operators, City Swap Network,,Full Time
311,Work From Home Admin Clerks - Work Remotely, City Swap Network,,Part Time
312,Career Development Program, Mercedes,Benz Australia/Pacific Pty - Dubai,Freelance / Project
313,Visual Merchandising Specialist - UAE, Tiffany , Dubai,Part Time
314,Taste & Wellbeing Creative Marketing Associate for ME, Givaudan , Dubai,Full Time
315,Media Director, topEngineer , Dubai,Freelance / Project
316,Learning Experience Designer, Noon , The Social Learning Platform - Cairo,Full Time
317,Graphic Designer & Video Editor, AudaCity Capital Management , Dubai,Freelance / Project
318,Senior Product Designer, Malaa Technologies , Riyadh,Freelance / Project
319,Standard Graphic Designer, Valeo , Cairo,Freelance / Project
320,Digital Marketing Strategy Analyst, Accenture Middle East , Dubai,Full Time
321,Graphic Designer, TheTalentPoint | Jobs in UAE & Middleeast , Dubai,Internship
322,BIM Coordinator, AtkinsRéalis , Dubai,Internship
323,Architectural Design Manager, Guardian Industries , Cairo,Full Time
324,Senior specialist, Graphic Designer,,Internship
325,Senior Design Engineer, AVI,SPL Middle East - Dubai,Full Time
326,Senior Hair Stylist - Bahrain, Domo Ventures W.L.L. , Riyadh,Freelance / Project
327,Creative Packaging Designer, Pupilar UAE | Future of Hiring , Dubai,Internship
328,Interior Design Architect, AtkinsRéalis , Riyadh,Part Time
329,Motion Graphic Designer, XM , Cairo,Internship
330,Senior Hair Stylist -  Bahrain, Domo Ventures , Riyadh,Freelance / Project
331,Senior Hair Stylist - Bahrain, Domo Ventures , Riyadh,Part Time
332,Sr. Digital Director - Global Media Agency, Right Calibre Consulting , Dubai,Part Time
333,Social Media Designer, APCO Worldwide , Dubai,Freelance / Project
334,Senior Hair Stylist - Location: Bahrain, Domo Ventures , Kuwait City,Freelance / Project
335,3D Visualizer, Archcorp Architectural Engineering , Dubai,Part Time
336,Graphic Designer, Workforce Development Solutions , Cairo,Full Time
337,Senior Director, Legal,,Freelance / Project
338,Interior Designer, Al Tayer Insignia , Dubai,Full Time
339,MEP Supervisor 3 (Power), Air Products , Tabuk,Internship
340,Electrical Supervisor 3 (Power), Air Products , Tabuk,Internship
341,Marketing Director (Saudi - PIF RE Portfolio Entity), Michael Page , Riyadh,Part Time
342,3D Product Designer, Homzmart , Cairo,Part Time
343,Quran Printing expert operators, Reliance Human Resources Consultancy , Dubai,Part Time
